,subject,sert-cre,rel_fluo
1,ZFM-04300,0,14.893803756362999
2,ZFM-04820,1,172.90372670807454
3,ZFM-04083,1,95.15824541921154
4,ZFM-04080,1,100.64759848893686
5,ZFM-04122,1,39.525446385944804
6,ZFM-03324,0,4.132963737162584
7,ZFM-03323,0,3.559870550161804
8,ZFM-03321,1,40.95810866860222
9,ZFM-03331,0,4.717217217217211
10,ZFM-03329,1,111.82175202372363
11,ZFM-03330,1,332.8586387434555
12,ZFM-03332,0,-6.920441568328897
13,ZFM-02601,1,41.581460528364545
14,ZFM-02600,1,131.58954988983317
15,ZFM-02181,0,12.220868859114915
