pid,eid,probe,subject,cluster_id,regions,type
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,4,RL,FS
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,260,PAG,FS
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,231,MB,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,53,MA3,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,65,MA3,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,66,MA3,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,92,ND,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,252,PAG,FS
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,94,ND,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,145,PAG,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,168,PAG,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,176,PAG,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,178,PAG,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,183,PAG,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,215,RSPv5,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,124,PAG,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,247,ND,FS
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,249,PAG,Und.
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,120,PAG,FS
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,240,PAG,FS
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,95,ND,FS
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,79,ND,FS
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,76,PAG,RS
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,73,PAG,FS
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,71,PAG,FS
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,63,MA3,FS
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,75,PAG,FS
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,45,MB,FS
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,31,RL,FS
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,27,RL,FS
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,8,RL,FS
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,110,ND,FS
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,113,ND,FS
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,48,MB,FS
dd5af9d9-16b1-477a-885d-713dc5066b8c,066bf23b-17a9-4a0a-84ac-097776a2ea4a,probe00,ZFM-02601,107,ND,FS
0e236047-e8ca-49b8-a18e-d0f6ff3ee592,0d04401a-2e75-4449-b699-252000ed2b76,probe01,ZFM-03332,224,MOs6b,RS
0e236047-e8ca-49b8-a18e-d0f6ff3ee592,0d04401a-2e75-4449-b699-252000ed2b76,probe01,ZFM-03332,257,MOs6a,RS
0e236047-e8ca-49b8-a18e-d0f6ff3ee592,0d04401a-2e75-4449-b699-252000ed2b76,probe01,ZFM-03332,256,MOs6a,RS
0e236047-e8ca-49b8-a18e-d0f6ff3ee592,0d04401a-2e75-4449-b699-252000ed2b76,probe01,ZFM-03332,252,MOs6a,RS
0e236047-e8ca-49b8-a18e-d0f6ff3ee592,0d04401a-2e75-4449-b699-252000ed2b76,probe01,ZFM-03332,244,MOs6a,RS
0e236047-e8ca-49b8-a18e-d0f6ff3ee592,0d04401a-2e75-4449-b699-252000ed2b76,probe01,ZFM-03332,235,MOs6a,FS
0e236047-e8ca-49b8-a18e-d0f6ff3ee592,0d04401a-2e75-4449-b699-252000ed2b76,probe01,ZFM-03332,227,MOs6a,RS
0e236047-e8ca-49b8-a18e-d0f6ff3ee592,0d04401a-2e75-4449-b699-252000ed2b76,probe01,ZFM-03332,190,ORBl5,FS
